Código ID,Data ,Coordenada,Família,Gênero,Espécie,Nome popular,Classificação,Altura (m),Cap (cm),Dap (cm),Flor,Fruto,Tronco,Observação,Coletada
4/58,30/1/2025,,Fabaceae,Calliandra,Calliandra brevipes Benth.,caliandra rosa,nativa,5,20,6,sim,,,,
4/59,30/1/2025,,Fabaceae,Calliandra,Calliandra brevipes Benth.,caliandra rosa,nativa,4,17,5,,,,,
4/60,30/1/2025,,Fabaceae,Calliandra,Calliandra brevipes Benth.,caliandra rosa,nativa,4,23,7,,,,,
4/61,30/1/2025,,Fabaceae,Calliandra,Calliandra brevipes Benth.,caliandra rosa,nativa,4,19,6,,,,,
4/62,30/1/2025,,Fabaceae,Calliandra,Calliandra brevipes Benth.,caliandra rosa,nativa,4,22,7,,,,,
4/63,30/1/2025,,Anacardiaceae,Mangifera,Mangifera indica L.,mangueira,cultivada,8,45,14,,sim,,,
4/64,30/1/2025,,Anacardiaceae,Anacardium,Anacardium occidentale L.,caju,nativa,"2,5",40,13,,,,,
4/65,30/1/2025,,Fabaceae,Dialium,Dialium guianense (Aubl.) Sandwith ,tamarindo,nativa,"8,5",117,37,,,,,
4/66,30/1/2025,,Fabaceae,Dialium,Dialium guianense (Aubl.) Sandwith ,tamarindo,nativa,9,99,32,,,,,
4/67,30/1/2025,,Fabaceae,Dialium,Dialium guianense (Aubl.) Sandwith ,tamarindo,nativa,"8,5",123,39,,,,,
4/68,30/1/2025,,Fabaceae,Machaerium,Machaerium aculeatum Raddi,Jacarandá bico de pato,nativa,12,68,22,,sim,,,
4/69,30/1/2025,,Fabaceae,Machaerium,Machaerium aculeatum Raddi,Jacarandá bico de pato,nativa,11,81,26,,sim,,,
4/70,30/1/2025,,Fabaceae,Machaerium,Machaerium aculeatum Raddi,Jacarandá bico de pato,nativa,11,95,30,,sim,,,
4/71,07/02/2025,,Fabaceae,Bauhinia,Bauhinia cf. variegata L.,casco de vaca lilás,exótica,10,41,13,,,,,
4/72,07/02/2025,,Fabaceae,Bauhinia,Bauhinia cf. variegata L.,casco de vaca lilás,exótica,7,37,12,,,,,
4/73,07/02/2025,,Fabaceae,Bauhinia,Bauhinia cf. variegata L.,casco de vaca lilás,exótica,10,77,25,,,,,
4/74,07/02/2025,,Anacardiaceae,Anacardium,Anacardium occidentale L.,cajú ,nativa,7,55,18,,,,,
4/75,07/02/2025,,Anacardiaceae,Anacardium,Anacardium occidentale L.,cajú ,nativa,7,49,16,,,,,
4/76,07/02/2025,,Lythraceae,Physocalymma,Physocalymma scaberrimum  Pohl,cega machado ,nativa,12,40,13,,fruto seco ,,,
4/77,07/02/2025,,Sapindaceae,Sapindus,Sapindus saponaria L.,saboneteira ,nativa,6,40,13,,,,,
4/78,07/02/2025,,Sapindaceae,Sapindus,Sapindus saponaria L.,saboneteira ,nativa,7,25,8,,,,,
4/79,07/02/2025,,Lythraceae,Physocalymma,Physocalymma scaberrimum  Pohl,cega machado ,nativa,11,38,12,,fruto seco ,,,
4/80,07/02/2025,,Lythraceae,Physocalymma,Physocalymma scaberrimum  Pohl,cega machado ,nativa,13,73,23,,fruto seco ,,,
4/81,07/02/2025,,Lythraceae,Physocalymma,Physocalymma scaberrimum  Pohl,cega machado ,nativa,12,64,20,,fruto seco ,,,
4/82,07/02/2025,,Lythraceae,Physocalymma,Physocalymma scaberrimum  Pohl,cega machado ,nativa,"9,5",55,18,,fruto seco ,,,
4/83,07/02/2025,,Lythraceae,Physocalymma,Physocalymma scaberrimum  Pohl,cega machado ,nativa,6,41,13,,fruto seco ,,,
